rule,side,length,complexity,val_avg_R,val_total_R,val_n_trades,val_fitness,val_fitness_raw,val_pf,val_win_rate,val_sharpe,val_max_dd,n_episodes_val,max_episode_val,val_half1_avg_R,val_half2_avg_R,stable,train_avg_R,train_n_trades,holdout_avg_R,holdout_total_R,holdout_n_trades,holdout_pf,holdout_win_rate,holdout_sharpe,holdout_max_dd,null_pvalue,null_n,drop_reason,selected_on
asp_mercury_uranus_trine_orb1,long,1,1,0.3190516970232542,12.762067880930168,40,0.2923850303565875,0.2990516970232542,2.1405269102163413,0.525,,,8,3,0.06011598160372996,0.40536360216309564,True,0.014775190637289269,118,,,,,,,,,,,validation
~asp_mars_venus_sextile_orb3 & asp_mercury_uranus_square_orb5,short,2,4,0.3718073423068916,22.308440538413496,60,0.2918073423068916,0.2918073423068916,2.3448113777264528,0.5833333333333334,,,11,12,0.3887379319309054,0.35487675268287766,True,0.00965529803933847,148,,,,,,,,,,,validation
asp_mars_venus_sextile_orb5 & ~mercury_sign_taurus,short,2,4,0.37128133906002736,16.70766025770123,45,0.29128133906002734,0.29128133906002734,2.0798771941608467,0.5555555555555556,,,8,12,0.3579154278303874,0.3879887280970774,True,-0.10712015365751319,79,,,,,,,,,,,validation
~asp_mars_venus_sextile_orb1 & ~mercury_sign_taurus,long,2,5,0.3890696308182268,21.398829695002476,55,0.2890696308182268,0.2890696308182268,2.2831729652945216,0.6181818181818182,,,11,235,0.2660939331276152,0.6042771017767974,True,0.04792389288046075,146,,,,,,,,,,,validation
asp_mars_pluto_sextile_orb1 & ~asp_mercury_saturn_conj_orb5,long,2,4,0.389032334717901,11.67097004153703,30,0.28903233471790096,0.309032334717901,2.108191668301509,0.6,,,6,5,0.2559151995069907,0.5221494699288114,True,0.2247924695760961,59,,,,,,,,,,,validation
asp_mars_mercury_conj_orb3 & ~asp_moon_uranus_opp_orb3,long,2,4,0.37560571232603224,15.024228493041289,40,0.28893904565936557,0.2956057123260322,2.233339731403688,0.575,,,8,12,0.5690728063322591,0.1821386183198054,True,-0.04301911460442631,95,,,,,,,,,,,validation
~asp_mars_neptune_trine_orb3 & ~asp_mercury_saturn_conj_orb3,long,2,5,0.38891122884035656,22.55685127274068,58,0.2889112288403566,0.2889112288403566,2.0504867323829954,0.5517241379310345,,,12,249,0.583213591044352,0.24171246959490528,True,0.3032533361139887,143,,,,,,,,,,,validation
asp_mars_venus_sextile_orb5 & ~pluto_retro,short,2,4,0.38836912330627105,11.651073699188132,30,0.288369123306271,0.30836912330627103,2.0319990061921227,0.5333333333333333,,,5,12,0.4411494241572923,0.2828085216042281,True,-0.14900007944758575,54,,,,,,,,,,,validation
~asp_sun_venus_conj_orb5 & ~sun_sign_aries,long,2,5,0.3880265237900914,21.341458808455027,55,0.2880265237900914,0.2880265237900914,1.9881528661680752,0.5818181818181818,,,11,183,0.4720194118283794,0.2872350581441456,True,0.012598810828665732,119,,,,,,,,,,,validation
~asp_mars_neptune_trine_orb3 & ~asp_mars_venus_sextile_orb1,long,2,5,0.3873546374836064,24.79069679895081,64,0.28735463748360635,0.28735463748360635,2.1490147910829758,0.5625,,,14,334,0.4795091181677226,0.2761337125200178,True,0.22388899905288331,144,,,,,,,,,,,validation
~asp_moon_pluto_conj_orb1 & ~pluto_retro,long,2,5,0.38652734592014865,19.326367296007433,50,0.2865273459201486,0.2865273459201486,2.2900626060349856,0.64,,,10,140,0.48830371970324526,0.318676430064751,True,0.08086255106031599,117,,,,,,,,,,,validation
asp_jupiter_mars_sextile_orb1,short,1,1,0.32539781152273145,9.761934345681944,30,0.2853978115227314,0.30539781152273143,1.934043322711556,0.5666666666666667,,,5,4,0.5304747245177409,0.12032089852772201,True,-0.11766735280259157,54,,,,,,,,,,,validation
asp_jupiter_mars_trine_orb3 & ~asp_moon_uranus_conj_orb1,short,2,4,0.38392746100116126,11.901751291036,31,0.2852607943344946,0.30392746100116125,1.865999090851963,0.5161290322580645,,,6,8,0.3222943424465144,0.4959876765550644,True,-0.16258304263496223,64,,,,,,,,,,,validation
~asp_mercury_uranus_conj_orb3,short,1,2,0.3445581367749418,10.336744103248254,30,0.2845581367749418,0.3045581367749418,2.120474378720902,0.5666666666666667,,,7,248,0.2855503251987747,0.4625737599272758,True,-0.10785375386798564,67,,,,,,,,,,,validation
~asp_mercury_uranus_conj_orb5 & mercury_sign_aries,short,2,4,0.38281255748123644,11.86718928191833,31,0.28414589081456976,0.3028125574812364,2.5009619997606056,0.6774193548387096,,,8,46,0.2784735266461401,0.6019245222349388,True,0.11179951019685591,75,,,,,,,,,,,validation
asp_jupiter_mercury_trine_orb3,short,1,1,0.30357833744132656,19.732591933686226,65,0.28357833744132654,0.28357833744132654,1.786621526554533,0.5538461538461539,,,12,10,0.34527344527819626,0.2097643448083696,True,0.11753773148806068,127,,,,,,,,,,,validation
asp_mars_mercury_conj_orb1 & ~asp_saturn_sun_opp_orb3,long,2,4,0.37660816697466737,13.181285844113358,35,0.28327483364133405,0.29660816697466735,2.230790639407978,0.6,,,7,3,0.30919162780769627,0.46649688586396215,True,0.0016710869064935998,79,,,,,,,,,,,validation
